805 805
441 468 -1.061556
441 474 -0.325728
442 445 1.636480
443 459 1.173181
444 447 1.391204
444 450 -0.025946
444 455 0.137571
444 457 0.818893
444 460 0.464606
445 450 -1.988155
445 453 -1.824637
446 448 -0.761774
447 455 0.301088
448 449 0.355594
448 452 0.900652
449 451 -0.080452
449 452 1.990768
450 453 -1.116062
450 457 0.110318
450 475 0.464606
450 476 0.573617
451 452 0.737135
451 456 0.137571
451 462 -0.080452
451 465 -1.197821
453 454 -2.178925
453 463 -0.243969
453 464 0.573617
453 469 -0.925292
453 476 0.219330
453 478 -0.598257
453 481 -0.134958
453 482 0.192077
454 458 0.301088
454 463 1.282193
454 464 0.410100
455 460 0.737135
456 462 -0.461993
457 460 1.663733
457 466 -0.898039
457 470 0.028560
457 475 1.009664
457 484 -0.189464
459 461 -0.243969
460 466 1.227687
461 462 -0.707269
461 465 -1.007050
461 467 -0.952545
461 468 -1.443097
461 474 -0.325728
461 479 -0.625510
461 485 -0.407487
461 489 0.192077
461 493 0.164824
461 494 -0.734521
461 495 0.083065
461 497 -0.134958
461 498 -0.789027
461 500 -1.088809
461 501 -1.606614
461 502 -1.279579
461 504 -1.334085
462 465 0.028560
463 464 1.718239
463 468 -0.571004
463 471 -1.524855
463 478 0.873399
466 470 1.663733
466 472 0.219330
466 473 0.737135
467 479 -0.843533
468 471 -0.298475
468 478 0.846146
468 483 -0.080452
468 485 -0.080452
468 492 0.410100
468 496 0.192077
468 505 1.064170
470 473 0.628123
470 477 -0.680016
470 480 -0.407487
470 484 0.655376
470 487 1.009664
471 478 1.827251
472 473 0.246583
473 477 -0.298475
473 486 1.391204
475 476 0.573617
475 484 0.464606
475 488 1.391204
476 481 0.137571
476 483 -0.352981
476 488 1.009664
477 480 -0.816280
477 486 -1.007050
477 487 -0.707269
478 482 -0.380234
478 483 -1.225074
480 487 -1.633867
481 482 0.955158
481 483 0.083065
482 483 -0.025946
483 488 -0.461993
483 490 -0.216717
483 491 -0.843533
483 496 0.464606
484 488 0.655376
484 491 0.410100
484 508 -1.061556
485 492 -0.189464
485 502 -1.661120
486 487 -1.061556
488 491 -0.025946
489 493 -0.080452
489 495 0.519112
489 499 1.282193
491 496 -0.789027
491 505 -0.134958
491 507 -0.734521
491 508 1.173181
493 495 0.246583
494 495 -0.898039
494 500 1.609227
494 503 0.192077
494 510 2.208791
495 499 -0.134958
496 505 -0.352981
496 506 0.083065
497 498 0.219330
497 501 -0.761774
497 503 -0.298475
497 504 -0.243969
499 509 -0.489245
500 501 -1.606614
500 503 -0.352981
501 503 -0.189464
503 504 -1.088809
505 506 0.219330
505 507 -0.707269
507 508 -1.770131
511 512 0.846146
511 519 0.955158
512 513 0.546365
512 519 0.737135
512 523 1.909009
512 534 0.301088
513 514 0.628123
513 524 -0.489245
513 526 0.709882
513 535 -0.761774
513 536 0.246583
514 515 0.055812
514 524 -0.598257
514 525 0.573617
514 527 0.764388
514 529 0.628123
514 530 -0.189464
514 531 -0.298475
514 533 -1.388591
515 516 -0.189464
515 517 -0.598257
515 521 0.382847
515 522 -1.606614
515 525 -0.080452
517 518 0.600870
517 521 0.791641
518 520 0.164824
518 522 -0.134958
519 523 1.064170
520 522 0.028560
520 528 -0.025946
520 532 0.846146
520 537 2.699343
520 540 3.571436
521 522 -0.434740
522 525 0.001307
522 530 1.772745
522 532 1.690986
522 537 1.445710
522 539 1.772745
522 545 1.799998
523 534 2.426814
524 531 -1.007050
524 536 1.282193
524 542 1.663733
524 546 -0.134958
524 548 -0.380234
525 527 0.519112
525 530 0.301088
526 535 0.437353
527 530 0.955158
528 540 3.189895
528 541 0.955158
528 552 1.581974
529 530 -1.770131
529 533 -1.170568
530 533 0.791641
530 539 0.791641
531 533 0.682629
531 538 0.355594
531 543 0.573617
531 546 -0.461993
531 547 -0.243969
532 537 2.263297
